,codename,political_parties,votes
678,cordoba,CCa-PNC-NC,0
679,granada,CCa-PNC-NC,0
680,huelva,CCa-PNC-NC,0
681,jaen,CCa-PNC-NC,0
682,malaga,CCa-PNC-NC,0
683,sevilla,CCa-PNC-NC,0
684,huesca,CCa-PNC-NC,0
685,teruel,CCa-PNC-NC,0
686,zaragoza,CCa-PNC-NC,0
687,asturias,CCa-PNC-NC,0
688,illesbalears,CCa-PNC-NC,0
689,laspalmas,CCa-PNC-NC,48028
690,santacruzdetenerife,CCa-PNC-NC,76261
691,cantabria,CCa-PNC-NC,0
692,albacete,CCa-PNC-NC,0
693,ciudadreal,CCa-PNC-NC,0
694,cuenca,CCa-PNC-NC,0
695,guadalajara,CCa-PNC-NC,0
696,toledo,CCa-PNC-NC,0
697,avila,CCa-PNC-NC,0
698,burgos,CCa-PNC-NC,0
699,leon,CCa-PNC-NC,0
700,palencia,CCa-PNC-NC,0
701,salamanca,CCa-PNC-NC,0
702,segovia,CCa-PNC-NC,0
703,soria,CCa-PNC-NC,0
704,valladolid,CCa-PNC-NC,0
705,zamora,CCa-PNC-NC,0
706,barcelona,CCa-PNC-NC,0
707,girona,CCa-PNC-NC,0
708,lleida,CCa-PNC-NC,0
709,tarragona,CCa-PNC-NC,0
710,badajoz,CCa-PNC-NC,0
711,caceres,CCa-PNC-NC,0
712,acoruña,CCa-PNC-NC,0
713,lugo,CCa-PNC-NC,0
714,ourense,CCa-PNC-NC,0
715,pontevedra,CCa-PNC-NC,0
716,madrid,CCa-PNC-NC,0
717,navarra,CCa-PNC-NC,0
718,araba_alava,CCa-PNC-NC,0
719,gipuzkoa,CCa-PNC-NC,0
720,bizkaia,CCa-PNC-NC,0
721,murcia,CCa-PNC-NC,0
722,larioja,CCa-PNC-NC,0
723,alicante_alacant,CCa-PNC-NC,0
724,castellon_castello,CCa-PNC-NC,0
725,valencia_valencia,CCa-PNC-NC,0
726,ceuta,CCa-PNC-NC,0
727,melilla,CCa-PNC-NC,0
728,almeria,NA+,0
729,cadiz,NA+,0
730,cordoba,NA+,0
731,granada,NA+,0
732,huelva,NA+,0
733,jaen,NA+,0
734,malaga,NA+,0
735,sevilla,NA+,0
736,huesca,NA+,0
737,teruel,NA+,0
738,zaragoza,NA+,0
739,asturias,NA+,0
740,illesbalears,NA+,0
741,laspalmas,NA+,0
742,santacruzdetenerife,NA+,0
743,cantabria,NA+,0
744,albacete,NA+,0
745,ciudadreal,NA+,0
746,cuenca,NA+,0
747,guadalajara,NA+,0
748,toledo,NA+,0
749,avila,NA+,0
750,burgos,NA+,0
751,leon,NA+,0
752,palencia,NA+,0
753,salamanca,NA+,0
754,segovia,NA+,0
755,soria,NA+,0
756,valladolid,NA+,0
757,zamora,NA+,0
758,barcelona,NA+,0
759,girona,NA+,0
760,lleida,NA+,0
761,tarragona,NA+,0
762,badajoz,NA+,0
763,caceres,NA+,0
764,acoruña,NA+,0
765,lugo,NA+,0
766,ourense,NA+,0
767,pontevedra,NA+,0
768,madrid,NA+,0
